id,college,team
0,Oregon State University,LAL
1,Oregon State University,PHO
2,Oregon State University,PHO
3,Oregon State University,LAL
4,Oregon State University,LAL
5,Oregon State University,LAL
6,Oregon State University,PHO
7,Oregon State University,DAL
8,Oregon State University,LAL
9,Oregon State University,TOT
10,Oregon State University,DAL
11,Oregon State University,LAL
12,Oregon State University,DAL
13,Oregon State University,MIA
14,Oregon State University,LAL
15,Oregon State University,LAL
16,Oregon State University,PHO
17,Oregon State University,LAL
18,University of Arizona,CLE
19,Virginia Union University,WSB
20,Virginia Union University,WSB
21,Indiana University,CHI
22,Indiana University,GSW
23,Indiana University,CHI
24,Purdue University,DAL
25,University of Connecticut,IND
26,University of Connecticut,TOT
27,University of Connecticut,IND
28,University of Connecticut,CLE
29,University of Connecticut,PHO
30,University of Connecticut,IND
31,University of Connecticut,IND
32,University of Connecticut,MIN
33,University of Connecticut,WAS
34,Fairfield University,BOS
35,Jackson State University,CHI
36,University of Oregon,TOT
37,University of Oregon,DEN
38,University of Oregon,CHI
39,University of Oregon,TOT
40,University of Oregon,HOU
41,University of Oregon,CHI
42,University of Oregon,PHO
43,University of Oregon,HOU
44,University of Oregon,HOU
45,University of Oregon,HOU
46,University of Oregon,HOU
47,University of Oregon,TOT
48,University of Oregon,SAC
49,University of Oregon,HOU
50,University of Oregon,IND
51,University of Arizona,ORL
52,University of Arizona,ORL
53,University of Arizona,ORL
54,University of Pittsburgh,CHI
55,University of Pittsburgh,TOT
56,University of Pittsburgh,TOR
57,University of Pittsburgh,SAC
58,University of Pittsburgh,NOH
59,University of Pittsburgh,CHI
60,University of Pittsburgh,NOH
61,University of Pittsburgh,TOR
62,University of Pittsburgh,TOR
63,University of Pittsburgh,TOT
64,University of Pittsburgh,CHI
65,University of Kentucky,CHO
66,University of Kentucky,CHO
67,Grambling State University,NOJ
68,Grambling State University,NOJ
69,Grambling State University,NOJ
70,Grambling State University,NOJ
71,Grambling State University,NOJ
72,Temple University,DET
73,Temple University,TOT
74,Temple University,PHI
75,Temple University,PHI
76,Temple University,DET
77,Temple University,POR
78,Temple University,TOT
79,Temple University,LAL
80,Temple University,PHI
81,Temple University,PHI
82,Temple University,POR
83,Temple University,LAL
84,Temple University,PHI
85,Temple University,PHI
86,Temple University,POR
87,Temple University,PHI
88,Temple University,PHI
89,University of Kansas,GSW
90,Auburn University,PHO
91,Xavier University,UTA
92,Xavier University,TOT
93,Xavier University,TOR
94,Xavier University,NOK
95,Xavier University,SEA
96,Xavier University,LAC
97,Xavier University,NJN
98,Xavier University,WAS
99,Xavier University,TOT
100,Xavier University,DEN
101,Xavier University,VAN
102,Xavier University,NJN
103,Xavier University,NJN
104,Xavier University,LAC
105,Xavier University,NJN
106,Xavier University,TOR
107,Xavier University,NJN
108,Xavier University,TOT
109,Xavier University,MIL
110,Xavier University,SEA
111,University of Wisconsin-Parkside,DAL
112,University of Wisconsin-Parkside,POR
113,University of Iowa,MIL
114,University of Iowa,TOR
115,University of Iowa,TOT
116,University of Iowa,TOR
117,University of Iowa,BOS
118,University of Iowa,BOS
119,Texas A&M University,GSW
120,Texas A&M University,GSW
121,Texas A&M University,CHA
122,Texas A&M University,CHI
123,Texas A&M University,TOT
124,Texas A&M University,ATL
125,Texas A&M University,TOT
126,Texas A&M University,ATL
127,Texas A&M University,MEM
128,Auburn University,TOT
129,Auburn University,DAL
130,Auburn University,DEN
131,Stanford University,UTA
132,Stanford University,UTA
133,Stanford University,UTA
134,Stanford University,UTA
135,Stanford University,GSW
136,Stanford University,ATL
137,Stanford University,UTA
138,Stanford University,ATL
139,Stanford University,UTA
140,Gonzaga University,LAL
141,Gonzaga University,CHA
142,Gonzaga University,LAL
143,Gonzaga University,CHA
144,Gonzaga University,TOT
145,Colgate University,ORL
146,Colgate University,GSW
147,Colgate University,GSW
148,Colgate University,GSW
149,Colgate University,GSW
150,Colgate University,MEM
151,Colgate University,GSW
152,Colgate University,GSW
153,Colgate University,ORL
154,Colgate University,GSW
155,Colgate University,TOT
156,Colgate University,GSW
157,Colgate University,GSW
158,Colgate University,GSW
159,University of Kansas,MIL
160,University of Kansas,DEN
161,University of Memphis,ORL
162,University of Memphis,TOT
163,University of Memphis,PHI
164,Michigan State University,MIN
165,Michigan State University,ATL
166,Michigan State University,MIN
